TSN,genus
115251,Catagapetus
115253,Electragapetus
115258,Wormaldia
115273,Chimarra
115319,Dolophilodes
115335,Psychomyia
115350,Tinodes
115361,Phylocentropus
115373,Cernotina
115388,Paduniella
115391,Lype
115395,Polyplectropus
115399,Diplectrona
115408,Cheumatopsyche
115453,Hydropsyche
115529,Arctopsyche
115542,Oropsyche
115544,Smicridea
115551,Potamyia
115556,Parapsyche
115566,Symphitopsyche
115570,Ceratopsyche
115603,Macrostemum
115605,Macronema
115618,Homoplectra
115625,Leptonema
115630,Leucotrichia
115635,Agraylea
115641,Hydroptila
115714,Ochrotrichia
115779,Oxyethira
115811,Mayatrichia
115817,Stactobiella
115823,Ithytrichia
115826,Dibusa
115828,Orthotrichia
115833,Neotrichia
115849,Palaeagapetus
115854,Zumatrichia
115861,Oligotricha
115868,Ptilostomis
115882,Agrypnia
115887,Fabria
115892,Phryganea
115900,Oligostomis
115903,Hagenella
115907,Cryptochia
115911,Banksiola
115922,Yphria
115925,Oligostomus
115935,Apatania
115956,Anabolia
115969,Allocosmoecus
115971,Philocasca
115972,Pedomoecus
115974,Psychoglypha
115989,Pseudostenophylax
115995,Hydatophylax
116001,Hesperophylax
116002,Platyphylax
116013,Clostoeca
116017,Chyranda
116023,Desmona
116025,Ecclisomyia
116030,Glyphopsyche
116039,Oligophlebodes
116046,Neophylax
116069,Limnephilus
116221,Asynarchus
116247,Arctopora
116253,Amphicosmoecus
116256,Chilostigma
116261,Chilostigmodes
116265,Dicosmoecus
116276,Clistoronia
116286,Homophylax
116295,Grensia
116298,Goeracea
116301,Goereilla
116303,Frenesia
116306,Halesochila
116309,Grammotaulius
116315,Onocosmoecus
116331,Farula
116340,Ecclisocosmoecus
116344,Manophylax
116345,Leptophylax
116347,Lepania
116349,Lenarchus
116379,Moselyana
116382,Ironoquia
116388,Neothremma
116394,Philarctus
116398,Phanocelia
116401,Rossiana
116402,Psychoronia
116407,Platycentropus
116409,Pycnopsyche
116423,Goera
116432,Nemotaulius
116433,Glyphotaelius
116438,Allomyia
116462,Goerita
116474,Molanna
116484,Molannodes
116490,Beraea
116497,Psilotreta
116514,Marilia
116520,Namamyia
116522,Nerophilus
116525,Parthina
116527,Pseudogoera
116530,Anisocentropus
116536,Ganonema
116537,Heteroplectron
116540,Phylloicus
116548,Setodes
116565,Triaenodes
116598,Mystacides
116607,Oecetis
116651,Nectopsyche
116677,Leptocerus
116684,Ceraclea
116685,Athripsodes
116794,Lepidostoma
116897,Theliopsyche
116906,Brachycentrus
116933,Amiocentrus
116956,Adicrophleps
116958,Micrasema
116971,Eobrachycentrus
116983,Agarodes
117003,Gumaga
117012,Fattigia
117016,Helicopsyche
117044,Polycentropus
117091,Cyrnellus
117095,Neureclipsis
117104,Nyctiophylax
117121,Agapetus
117154,Anagapetus
117159,Glossosoma
117223,Austrotinodes
117226,Atopsyche
117229,Xiphocentron
117642,Paraponyx
117654,Synclita
117659,Nymphula
117665,Elophila
117670,Langessa
117672,Munroessa
117682,Petrophila
117691,Diatraea
117693,Dichozoma
117695,Eoparargyractis
117697,Acentropus
117699,Schoenobius
117704,Chilo
117710,Occidentalia
117714,Parapoynx
117722,Chrysendeton
117727,Neocataclysta
117730,Ostrinia
117739,Perispasta
117741,Acentria
117743,Patissa
117751,Usingeriessa
117754,Oxyelophila
117756,Neargyractis
117758,Nymphuliella
117761,Oligostigmoides
117763,Contiger
117765,Undulambia
117769,Cosipara
117773,Rhodocantha
117775,Procymbopteryx
117777,Edia
117780,Cuneifrons
117782,Gyros
117786,Anatralata
117788,Eremanthe
117790,Metaxmeste
117792,Frechinia
117798,Metrea
117800,Carectocultus
117802,Rupela
117804,Sathria
117806,Psara
117809,Lypotigris
117811,Epina
117814,Urola
117816,Vaxi
117820,Microcrambus
117830,Thaumatopsis
117850,Bicilia
118842,Brachypremna
118845,Ctenophora
118861,Dolichopeza
118890,Holorusia
118894,Leptotarsus
118905,Megistocera
118908,Nephrotoma
119008,Prionocera
119037,Tipula
119635,Cylindrotoma
119641,Liogma
119645,Phalacrocera
119652,Triogma
119656,Antocha
119664,Dicranoptycha
119690,Helius
119697,Elliptera
119704,Limonia
120019,Orimarga
120028,Thaumastoptera
120031,Atarba
120037,Austrolimnophila
120049,Dactylolabis
120076,Elephantomyia
120081,Epiphragma
120094,Hexatoma
120164,Limnophila
120298,Paradelphomyia
120320,Phyllolabis
120335,Pilaria
120358,Polymera
120362,Prolimnophila
120365,Pseudolimnophila
120377,Shannonomyia
120387,Ulomorpha
120398,Arctoconopa
120420,Cheilotrichia
120458,Chionea
120480,Cladura
120488,Cryptolabis
120503,Erioptera
120622,Eugnophomyia
120626,Gnophomyia
120631,Gonempeda
120640,Gonomyia
120721,Gonomyopsis
120722,Gonomyodes
120732,Hesperoconopa
120745,Idiognophomyia
120749,Lipsothrix
120758,Molophilus
120821,Neocladura
120826,Neolimnophila
120830,Ormosia
120967,Phantolabis
120968,Rhabdomastix
121000,Sigmatomera
121003,Tasiocera
121012,Teucholabis
121020,Toxorhina
121024,Styringomyia
121027,Dicranota
121112,Nasiternella
121115,Ornithodes
121118,Pedicia
121222,Ula
125353,Trichomyia
125362,Lutzomyia
125389,Nemopalpus
125392,Maruina
125399,Telmatoscopus
125438,Brunettia
125443,Trichopsychoda
125446,Philosepedon
125459,Threticus
125467,Eurygarka
125468,Psychoda
125514,Pericoma
125553,Breviscapus
125810,Dixa
125854,Dixella
